No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
604,ENVY,Envy Technologies Indonesia Tb,08 Jul 2019,1.800.000.000,Pemantauan Khusus
605,EAST,Eastparc Hotel Tbk.,09 Jul 2019,4.126.405.336,Pengembangan
606,LIFE,MSIG Life Insurance Indonesia ,09 Jul 2019,2.100.000.000,Pengembangan
607,FUJI,Fuji Finance Indonesia Tbk.,09 Jul 2019,1.300.000.000,Pengembangan
608,KOTA,DMS Propertindo Tbk.,09 Jul 2019,10.546.185.701,Utama
609,INOV,Inocycle Technology Group Tbk.,10 Jul 2019,1.808.221.900,Pengembangan
610,ARKA,Arkha Jayanti Persada Tbk.,10 Jul 2019,2.000.000.000,Pemantauan Khusus
611,SMKL,Satyamitra Kemas Lestari Tbk.,11 Jul 2019,3.418.085.290,Pengembangan
612,HDIT,Hensel Davest Indonesia Tbk.,12 Jul 2019,1.524.680.000,Pengembangan
613,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,3.666.312.500,Utama
614,BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,5.591.980.103,Pemantauan Khusus
615,TFAS,Telefast Indonesia Tbk.,17 Sep 2019,1.666.666.500,Pengembangan
616,GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,12.111.376.157,Pengembangan
617,OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,1.000.000.000,Pengembangan
618,NZIA,Nusantara Almazia Tbk.,25 Sep 2019,2.197.540.705,Pemantauan Khusus
619,SLIS,Gaya Abadi Sempurna Tbk.,07 Okt 2019,2.463.338.488,Pengembangan
620,PURE,Trinitan Metals and Minerals T,09 Okt 2019,1.375.181.505,Pemantauan Khusus
621,IRRA,Itama Ranoraya Tbk.,15 Okt 2019,1.600.000.000,Pengembangan
622,DMMX,Digital Mediatama Maxima Tbk.,21 Okt 2019,7.692.307.700,Pengembangan
623,SINI,Singaraja Putra Tbk.,08 Nov 2019,481.000.000,Pemantauan Khusus
624,WOWS,Ginting Jaya Energi Tbk.,08 Nov 2019,2.475.720.000,Pengembangan
625,ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,1.109.953.847,Pengembangan
626,TEBE,Dana Brata Luhur Tbk.,18 Nov 2019,1.285.000.000,Utama
627,KEJU,Mulia Boga Raya Tbk.,25 Nov 2019,5.624.999.999,Utama
628,PSGO,Palma Serasih Tbk.,25 Nov 2019,18.850.000.000,Utama
629,AGAR,Asia Sejahtera Mina Tbk.,02 Des 2019,1.000.000.000,Pengembangan
630,IFSH,Ifishdeco Tbk.,05 Des 2019,2.125.000.000,Pengembangan
631,REAL,Repower Asia Indonesia Tbk.,06 Des 2019,6.633.610.151,Pengembangan
632,IFII,Indonesia Fibreboard Industry ,10 Des 2019,9.412.000.000,Pengembangan
633,PMJS,Putra Mandiri Jembar Tbk.,18 Des 2019,13.755.600.000,Pengembangan
634,UCID,Uni-Charm Indonesia Tbk.,20 Des 2019,4.156.572.300,Utama
635,GLVA,Galva Technologies Tbk.,23 Des 2019,1.500.000.000,Pengembangan
636,PGJO,Bahtera Bumi Raya Tbk.,08 Jan 2020,795.859.095,Akselerasi
637,AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,18.197.283.760,Pengembangan
638,CSRA,Cisadane Sawit Raya Tbk.,09 Jan 2020,2.050.000.000,Utama
639,INDO,Royalindo Investa Wijaya Tbk.,13 Jan 2020,4.480.741.638,Pengembangan
640,AMOR,Ashmore Asset Management Indon,14 Jan 2020,2.222.222.400,Pengembangan
641,TRIN,Perintis Triniti Properti Tbk.,15 Jan 2020,4.551.457.789,Pengembangan
642,DMND,Diamond Food Indonesia Tbk.,22 Jan 2020,9.468.359.000,Pengembangan
643,PURA,Putra Rajawali Kencana Tbk.,29 Jan 2020,6.301.930.902,Pemantauan Khusus
644,PTPW,Pratama Widya Tbk.,07 Feb 2020,878.187.500,Pengembangan
645,TAMA,Lancartama Sejati Tbk.,10 Feb 2020,1.200.000.696,Pemantauan Khusus
646,IKAN,Era Mandiri Cemerlang Tbk.,12 Feb 2020,833.333.000,Pengembangan
647,SAMF,Saraswanti Anugerah Makmur Tbk,31 Mar 2020,10.250.000.000,Utama
648,SBAT,Sejahtera Bintang Abadi Textil,08 Apr 2020,4.752.982.378,Pemantauan Khusus
649,KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,7.150.002.603,Pemantauan Khusus
650,CBMF,Cahaya Bintang Medan Tbk.,09 Apr 2020,1.875.000.000,Pemantauan Khusus
651,RONY,Aracord Nusantara Group Tbk.,09 Apr 2020,1.250.000.000,Pengembangan
652,CSMI,Cipta Selera Murni Tbk.,09 Apr 2020,816.061.500,Pengembangan
653,BBSS,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,4.800.016.020,Pengembangan
654,BHAT,Bhakti Multi Artha Tbk.,15 Apr 2020,5.000.000.000,Pengembangan
655,CASH,Cashlez Worldwide Indonesia Tb,04 Mei 2020,1.431.125.517,Akselerasi
656,TECH,Indosterling Technomedia Tbk.,04 Jun 2020,1.256.300.000,Pemantauan Khusus
657,EPAC,Megalestari Epack Sentosaraya ,01 Jul 2020,3.303.400.000,Pemantauan Khusus
658,UANG,Pakuan Tbk.,06 Jul 2020,1.210.000.000,Pengembangan
659,PGUN,Pradiksi Gunatama Tbk.,07 Jul 2020,5.737.848.882,Pengembangan
660,SOFA,Solusi Environment Asia Tbk.,07 Jul 2020,1.653.574.499,Akselerasi
661,PPGL,Prima Globalindo Logistik Tbk.,20 Jul 2020,771.178.020,Akselerasi
662,TOYS,Sunindo Adipersada Tbk.,06 Agt 2020,1.435.000.712,Pemantauan Khusus
663,SGER,Sumber Global Energy Tbk.,10 Agt 2020,15.586.909.438,Utama
664,TRJA,Transkon Jaya Tbk.,27 Agt 2020,1.510.200.000,Pengembangan
665,PNGO,Pinago Utama Tbk.,31 Agt 2020,781.250.000,Utama
666,SCNP,Selaras Citra Nusantara Perkas,07 Sep 2020,2.500.000.000,Pengembangan
667,BBSI,Krom Bank Indonesia Tbk.,07 Sep 2020,3.637.976.068,Utama
668,KMDS,Kurniamitra Duta Sentosa Tbk.,07 Sep 2020,800.000.000,Pengembangan
669,PURI,Puri Global Sukses Tbk.,08 Sep 2020,1.000.000.000,Pengembangan
670,SOHO,Soho Global Health Tbk.,08 Sep 2020,12.691.682.390,Pengembangan
671,HOMI,Grand House Mulia Tbk.,10 Sep 2020,1.575.000.000,Pengembangan
672,ROCK,Rockfields Properti Indonesia ,10 Sep 2020,1.435.185.100,Pengembangan
673,ENZO,Morenzo Abadi Perkasa Tbk.,14 Sep 2020,2.162.547.122,Pengembangan
674,PLAN,Planet Properindo Jaya Tbk.,15 Sep 2020,896.709.596,Akselerasi
675,PTDU,Djasa Ubersakti Tbk.,08 Des 2020,1.500.000.000,Pemantauan Khusus
676,ATAP,Trimitra Prawara Goldland Tbk.,11 Des 2020,1.250.000.000,Pengembangan
677,VICI,Victoria Care Indonesia Tbk.,17 Des 2020,6.708.000.000,Utama
678,PMMP,Panca Mitra Multiperdana Tbk.,18 Des 2020,2.588.300.000,Pemantauan Khusus
679,BANK,Bank Aladin Syariah Tbk.,01 Feb 2021,14.793.174.908,Pengembangan
680,WMUU,Widodo Makmur Unggas Tbk.,02 Feb 2021,12.941.176.500,Utama
681,EDGE,Indointernet Tbk.,08 Feb 2021,2.020.250.000,Pengembangan
682,UNIQ,Ulima Nitra Tbk.,08 Mar 2021,3.138.983.000,Utama
683,BEBS,Berkah Beton Sadaya Tbk.,10 Mar 2021,45.000.000.000,Pemantauan Khusus
684,SNLK,Sunter Lakeside Hotel Tbk.,29 Mar 2021,450.000.000,Pengembangan
685,ZYRX,Zyrexindo Mandiri Buana Tbk.,30 Mar 2021,1.333.334.556,Pengembangan
686,LFLO,Imago Mulia Persada Tbk.,07 Apr 2021,1.307.734.937,Akselerasi
687,FIMP,Fimperkasa Utama Tbk.,09 Apr 2021,400.000.975,Pemantauan Khusus
688,TAPG,Triputra Agro Persada Tbk.,12 Apr 2021,19.852.540.000,Utama
689,NPGF,Nusa Palapa Gemilang Tbk.,14 Apr 2021,3.240.235.840,Pengembangan
690,LUCY,Lima Dua Lima Tiga Tbk.,05 Mei 2021,1.514.773.893,Akselerasi
691,ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,22.222.222.200,Pengembangan
692,HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,2.130.360.203,Pengembangan
693,MGLV,Panca Anugrah Wisesa Tbk.,08 Jun 2021,1.904.883.411,Akselerasi
694,TRUE,Triniti Dinamik Tbk.,10 Jun 2021,7.571.107.860,Pengembangan
695,LABA,Green Power Group Tbk.,10 Jun 2021,1.103.402.553,Pengembangan
696,ARCI,Archi Indonesia Tbk.,28 Jun 2021,25.235.000.000,Pengembangan
697,IPAC,Era Graharealty Tbk.,30 Jun 2021,949.868.500,Akselerasi
698,MASB,Bank Multiarta Sentosa Tbk.,30 Jun 2021,1.387.737.233,Pengembangan
699,BMHS,Bundamedik Tbk.,06 Jul 2021,8.603.416.176,Utama
700,FLMC,Falmaco Nonwoven Industri Tbk.,08 Jul 2021,781.250.000,Akselerasi
701,NICL,PAM Mineral Tbk.,09 Jul 2021,10.635.644.907,Pengembangan
702,UVCR,Trimegah Karya Pratama Tbk.,27 Jul 2021,2.000.144.838,Pengembangan
703,BUKA,Bukalapak.com Tbk.,06 Agt 2021,103.148.706.067,Ekonomi Baru
704,HAIS,Hasnur Internasional Shipping ,01 Sep 2021,2.626.250.000,Pengembangan
705,OILS,Indo Oil Perkasa Tbk.,06 Sep 2021,454.056.563,Pengembangan
706,GPSO,Geoprima Solusi Tbk.,06 Sep 2021,666.741.103,Pengembangan
707,MCOL,Prima Andalan Mandiri Tbk.,07 Sep 2021,3.555.560.000,Utama
708,RSGK,Kedoya Adyaraya Tbk.,08 Sep 2021,929.675.000,Pemantauan Khusus
709,RUNS,Global Sukses Solusi Tbk.,08 Sep 2021,983.557.875,Akselerasi
710,SBMA,Surya Biru Murni Acetylene Tbk,08 Sep 2021,929.926.282,Pengembangan
711,CMNT,Cemindo Gemilang Tbk.,08 Sep 2021,17.125.504.000,Pengembangan
712,GTSI,GTS Internasional Tbk.,08 Sep 2021,15.819.142.767,Utama
713,IDEA,Idea Indonesia Akademi Tbk.,09 Sep 2021,1.062.437.500,Akselerasi
714,KUAS,Ace Oldfields Tbk.,25 Okt 2021,1.292.808.150,Pengembangan
715,BOBA,Formosa Ingredient Factory Tbk,01 Nov 2021,1.155.750.000,Pengembangan
716,MTEL,Dayamitra Telekomunikasi Tbk.,22 Nov 2021,83.559.677.444,Utama
717,DEPO,Caturkarda Depo Bangunan Tbk.,25 Nov 2021,6.790.000.000,Pengembangan
718,BINO,Perma Plasindo Tbk.,25 Nov 2021,2.275.316.111,Pengembangan
719,CMRY,Cisarua Mountain Dairy Tbk.,06 Des 2021,7.934.683.000,Utama
720,WGSH,Wira Global Solusi Tbk.,06 Des 2021,1.042.500.000,Akselerasi
721,TAYS,Jaya Swarasa Agung Tbk.,06 Des 2021,1.098.920.000,Pengembangan
722,WMPP,Widodo Makmur Perkasa Tbk.,06 Des 2021,29.419.000.000,Pemantauan Khusus
723,RMKE,RMK Energy Tbk.,07 Des 2021,4.375.000.000,Utama
724,OBMD,OBM Drilchem Tbk.,08 Des 2021,805.992.931,Pengembangan
725,AVIA,Avia Avian Tbk.,08 Des 2021,61.953.555.600,Utama
726,IPPE,Indo Pureco Pratama Tbk.,09 Des 2021,4.600.000.000,Pemantauan Khusus
727,NASI,Wahana Inti Makmur Tbk.,13 Des 2021,807.400.000,Pengembangan
728,BSML,Bintang Samudera Mandiri Lines,16 Des 2021,1.850.225.000,Pengembangan
729,DRMA,Dharma Polimetal Tbk.,20 Des 2021,4.705.882.300,Utama
730,ADMR,Alamtri Minerals Indonesia Tbk,03 Jan 2022,40.882.331.500,Utama
731,SEMA,Semacom Integrated Tbk.,10 Jan 2022,1.347.258.842,Pengembangan
732,ASLC,Autopedia Sukses Lestari Tbk.,25 Jan 2022,12.746.354.780,Pengembangan
733,NETV,MDTV Media Technologies Tbk.,26 Jan 2022,41.360.517.722,Pengembangan
734,BAUT,Mitra Angkasa Sejahtera Tbk.,28 Jan 2022,4.800.182.969,Pemantauan Khusus
735,ENAK,Champ Resto Indonesia Tbk.,08 Feb 2022,2.166.666.800,Pengembangan
736,NTBK,Nusatama Berkah Tbk.,09 Feb 2022,2.700.064.877,Pengembangan
737,SMKM,Sumber Mas Konstruksi Tbk.,09 Mar 2022,1.253.000.000,Akselerasi
738,STAA,Sumber Tani Agung Resources Tb,10 Mar 2022,10.903.372.600,Utama
739,NANO,Nanotech Indonesia Global Tbk.,10 Mar 2022,4.285.440.269,Akselerasi
740,BIKE,Sepeda Bersama Indonesia Tbk.,21 Mar 2022,1.293.916.404,Pengembangan
741,WIRG,WIR ASIA Tbk.,04 Apr 2022,11.938.622.394,Pengembangan
742,SICO,Sigma Energy Compressindo Tbk.,08 Apr 2022,910.077.764,Pengembangan
743,GOTO,GoTo Gojek Tokopedia Tbk.,11 Apr 2022,1.140.573.267.220,Ekonomi Baru
744,TLDN,Teladan Prima Agro Tbk.,12 Apr 2022,12.946.530.200,Pengembangan
745,MTMH,Murni Sadar Tbk.,20 Apr 2022,2.068.526.950,Utama
746,WINR,Winner Nusantara Jaya Tbk.,25 Apr 2022,5.235.316.030,Pemantauan Khusus
747,IBOS,Indo Boga Sukses Tbk.,25 Apr 2022,8.065.789.529,Akselerasi
748,OLIV,Oscar Mitra Sukses Sejahtera T,17 Mei 2022,1.900.073.314,Akselerasi
749,ASHA,Cilacap Samudera Fishing Indus,27 Mei 2022,5.000.000.000,Pengembangan
750,SWID,Saraswanti Indoland Developmen,07 Jul 2022,5.385.019.201,Pengembangan
751,TRGU,Cerestar Indonesia Tbk.,08 Jul 2022,7.945.412.700,Utama
752,ARKO,Arkora Hydro Tbk.,08 Jul 2022,2.928.495.000,Pengembangan
753,CHEM,Chemstar Indonesia Tbk.,08 Jul 2022,1.700.014.594,Pengembangan
754,DEWI,Dewi Shri Farmindo Tbk.,18 Jul 2022,2.000.000.000,Pengembangan
755,AXIO,Tera Data Indonusa Tbk.,20 Jul 2022,5.840.126.500,Pengembangan
756,KRYA,Bangun Karya Perkasa Jaya Tbk.,25 Jul 2022,1.663.943.474,Pengembangan
757,HATM,Habco Trans Maritima Tbk.,26 Jul 2022,8.680.000.000,Utama
758,RCCC,Utama Radar Cahaya Tbk.,02 Agt 2022,787.500.000,Akselerasi
759,GULA,Aman Agrindo Tbk.,03 Agt 2022,1.070.362.500,Pengembangan
760,JARR,Jhonlin Agro Raya Tbk.,04 Agt 2022,9.230.665.050,Utama
761,AMMS,Agung Menjangan Mas Tbk.,04 Agt 2022,1.235.296.802,Akselerasi
762,RAFI,Sari Kreasi Boga Tbk.,05 Agt 2022,3.128.140.475,Pemantauan Khusus
763,KKES,Kusuma Kemindo Sentosa Tbk.,08 Agt 2022,1.500.000.000,Pemantauan Khusus
764,ELPI,Pelayaran Nasional Ekalya Purn,08 Agt 2022,7.412.000.000,Utama
765,EURO,Estee Gold Feet Tbk.,08 Agt 2022,2.548.826.428,Akselerasi
766,KLIN,Klinko Karya Imaji Tbk.,09 Agt 2022,1.307.530.330,Akselerasi
767,TOOL,Rohartindo Nusantara Luas Tbk.,09 Agt 2022,2.050.020.320,Pengembangan
768,BUAH,Segar Kumala Indonesia Tbk.,09 Agt 2022,2.000.000.000,Pengembangan
769,CRAB,Toba Surimi Industries Tbk.,10 Agt 2022,1.950.000.000,Pengembangan
770,MEDS,Hetzer Medical Indonesia Tbk.,10 Agt 2022,1.562.500.000,Pengembangan
771,COAL,Black Diamond Resources Tbk.,07 Sep 2022,6.250.000.000,Pengembangan
772,PRAY,Famon Awal Bros Sedaya Tbk.,08 Nov 2022,13.959.422.300,Pengembangan
773,CBUT,Citra Borneo Utama Tbk.,08 Nov 2022,3.125.000.000,Pengembangan
774,BELI,Global Digital Niaga Tbk.,08 Nov 2022,135.842.883.189,Ekonomi Baru
775,MKTR,Menthobi Karyatama Raya Tbk.,08 Nov 2022,12.060.428.584,Utama
776,OMED,Jayamas Medica Industri Tbk.,08 Nov 2022,27.058.850.000,Utama
777,BSBK,Wulandari Bangun Laksana Tbk.,08 Nov 2022,25.091.882.375,Pengembangan
778,PDPP,Primadaya Plastisindo Tbk.,09 Nov 2022,3.061.341.438,Pengembangan
779,KDTN,Puri Sentul Permai Tbk.,09 Nov 2022,1.250.023.298,Pengembangan
780,ZATA,Bersama Zatta Jaya Tbk.,10 Nov 2022,8.496.000.000,Pemantauan Khusus
781,NINE,Techno9 Indonesia Tbk.,05 Des 2022,2.157.000.000,Akselerasi
782,MMIX,Multi Medika Internasional Tbk,06 Des 2022,4.800.425.380,Pengembangan
783,PADA,Personel Alih Daya Tbk.,08 Des 2022,3.150.000.000,Pengembangan
784,ISAP,Isra Presisi Indonesia Tbk.,09 Des 2022,4.020.339.855,Akselerasi
785,VTNY,Venteny Fortuna International ,15 Des 2022,6.265.193.445,Pengembangan
786,SOUL,Mitra Tirta Buwana Tbk.,06 Jan 2023,1.082.526.223,Akselerasi
787,ELIT,Data Sinergitama Jaya Tbk.,06 Jan 2023,2.031.643.057,Pengembangan
788,BEER,Jobubu Jarum Minahasa Tbk.,06 Jan 2023,4.000.000.000,Pengembangan
789,CBPE,Citra Buana Prasida Tbk.,06 Jan 2023,1.356.250.000,Pengembangan
790,SUNI,Sunindo Pratama Tbk.,09 Jan 2023,2.500.000.000,Utama
791,CBRE,Cakra Buana Resources Energi T,09 Jan 2023,4.538.067.441,Pengembangan
792,WINE,Hatten Bali Tbk.,10 Jan 2023,2.710.000.000,Pengembangan
793,BMBL,Lavender Bina Cendikia Tbk.,11 Jan 2023,1.030.080.995,Akselerasi
794,PEVE,Penta Valent Tbk.,24 Jan 2023,1.765.625.000,Pengembangan
795,LAJU,Jasa Berdikari Logistics Tbk.,27 Jan 2023,2.149.942.974,Pengembangan
796,FWCT,Wijaya Cahaya Timber Tbk.,01 Feb 2023,1.963.000.000,Pengembangan
797,NAYZ,Hassana Boga Sejahtera Tbk.,06 Feb 2023,2.550.011.472,Akselerasi
798,IRSX,Folago Global Nusantara Tbk.,07 Feb 2023,6.195.047.377,Pengembangan
799,PACK,Abadi Nusantara Hijau Investam,08 Feb 2023,15.448.093.070,Akselerasi
800,VAST,Vastland Indonesia Tbk.,08 Feb 2023,3.055.737.049,Pengembangan
801,CHIP,Pelita Teknologi Global Tbk.,08 Feb 2023,806.000.000,Akselerasi
802,HALO,Haloni Jane Tbk.,08 Feb 2023,6.078.729.117,Pengembangan
803,KING,Hoffmen Cleanindo Tbk.,16 Feb 2023,2.602.852.170,Akselerasi
804,PGEO,Pertamina Geothermal Energy Tb,24 Feb 2023,41.815.763.396,Utama
805,FUTR,Futura Energi Global Tbk.,27 Feb 2023,6.635.551.959,Pengembangan
806,HILL,Hillcon Tbk.,01 Mar 2023,14.741.500.000,Pemantauan Khusus
807,BDKR,Berdikari Pondasi Perkasa Tbk.,03 Mar 2023,4.725.101.522,Utama
808,PTMP,Mitra Pack Tbk.,06 Mar 2023,3.169.200.000,Pengembangan
809,SAGE,Saptausaha Gemilangindah Tbk.,08 Mar 2023,8.033.527.260,Pemantauan Khusus
810,TRON,Teknologi Karya Digital Nusa T,08 Mar 2023,2.951.328.448,Pengembangan
811,CUAN,Petrindo Jaya Kreasi Tbk.,08 Mar 2023,112.418.900.000,Utama
812,NSSS,Nusantara Sawit Sejahtera Tbk.,10 Mar 2023,23.801.568.645,Pengembangan
813,GTRA,Grahaprima Suksesmandiri Tbk.,30 Mar 2023,1.894.375.000,Pengembangan
814,HAJJ,Arsy Buana Travelindo Tbk.,05 Apr 2023,2.468.324.638,Akselerasi
815,JATI,Informasi Teknologi Indonesia ,08 Mei 2023,3.262.520.106,Pengembangan
816,TYRE,King Tire Indonesia Tbk.,08 Mei 2023,3.480.581.727,Pengembangan
817,MPXL,MPX Logistics International Tb,09 Mei 2023,2.000.014.587,Pengembangan
818,SMIL,Sarana Mitra Luas Tbk.,12 Mei 2023,8.751.668.239,Utama
819,KLAS,Pelayaran Kurnia Lautan Semest,12 Jun 2023,3.644.415.975,Pengembangan
820,MAXI,Maxindo Karya Anugerah Tbk.,12 Jun 2023,9.610.099.981,Pengembangan
821,VKTR,VKTR Teknologi Mobilitas Tbk.,19 Jun 2023,43.750.000.000,Pengembangan
822,RELF,Graha Mitra Asia Tbk.,22 Jun 2023,5.727.832.195,Akselerasi
823,AMMN,Amman Mineral Internasional Tb,07 Jul 2023,72.518.217.656,Utama
824,CRSN,Carsurin Tbk.,10 Jul 2023,2.892.000.000,Pengembangan
825,GRPM,Graha Prima Mentari Tbk.,10 Jul 2023,1.547.767.324,Akselerasi
826,WIDI,Widiant Jaya Krenindo Tbk.,10 Jul 2023,1.600.031.683,Akselerasi
827,TGUK,Platinum Wahab Nusantara Tbk.,10 Jul 2023,3.571.451.815,Pemantauan Khusus
828,INET,Sinergi Inti Andalan Prima Tbk,24 Jul 2023,22.374.111.088,Pengembangan
829,MAHA,Mandiri Herindo Adiperkasa Tbk,25 Jul 2023,16.666.000.000,Utama
830,RMKO,Royaltama Mulia Kontraktorindo,31 Jul 2023,1.250.000.000,Pengembangan
831,CNMA,Nusantara Sejahtera Raya Tbk.,02 Agt 2023,83.345.000.000,Pengembangan
832,FOLK,Multi Garam Utama Tbk.,07 Agt 2023,4.091.357.544,Pengembangan
833,HBAT,Minahasa Membangun Hebat Tbk.,07 Agt 2023,1.040.740.800,Akselerasi
834,GRIA,Ingria Pratama Capitalindo Tbk,08 Agt 2023,7.375.720.674,Pengembangan
835,PPRI,Paperocks Indonesia Tbk.,08 Agt 2023,1.075.027.288,Pengembangan
836,ERAL,Sinar Eka Selaras Tbk.,08 Agt 2023,5.187.500.000,Utama
837,CYBR,ITSEC Asia Tbk.,08 Agt 2023,6.713.711.539,Pengembangan
838,MUTU,Mutuagung Lestari Tbk.,09 Agt 2023,3.142.950.585,Pengembangan
839,LMAX,Lupromax Pelumas Indonesia Tbk,09 Agt 2023,650.008.775,Akselerasi
840,HUMI,Humpuss Maritim Internasional ,09 Agt 2023,18.062.536.225,Pengembangan
841,MSIE,Multisarana Intan Eduka Tbk.,10 Agt 2023,1.460.007.754,Akselerasi
842,RSCH,Charlie Hospital Semarang Tbk.,28 Agt 2023,2.650.000.000,Pengembangan
843,BABY,Multitrend Indo Tbk.,07 Sep 2023,2.616.226.706,Pengembangan
844,AEGS,Anugerah Spareparts Sejahtera ,11 Sep 2023,1.006.080.721,Akselerasi
845,IOTF,Sumber Sinergi Makmur Tbk.,06 Okt 2023,5.290.298.067,Pengembangan
846,KOCI,Kokoh Exa Nusantara Tbk.,07 Okt 2023,4.466.883.562,Pengembangan
847,PTPS,Pulau Subur Tbk.,09 Okt 2023,2.167.514.856,Pengembangan
848,BREN,Barito Renewables Energy Tbk.,09 Okt 2023,133.786.220.000,Utama
849,STRK,Lovina Beach Brewery Tbk.,10 Okt 2023,10.721.835.562,Pengembangan
850,KOKA,Koka Indonesia Tbk.,11 Okt 2023,2.861.333.000,Pengembangan
851,LOPI,Logisticsplus International Tb,11 Okt 2023,1.100.011.289,Akselerasi
852,UDNG,Agro Bahari Nusantara Tbk.,31 Okt 2023,1.750.040.072,Akselerasi
853,RGAS,Kian Santang Muliatama Tbk.,08 Nov 2023,1.459.234.110,Pengembangan
854,MSTI,Mastersystem Infotama Tbk.,08 Nov 2023,3.139.416.200,Utama
855,IKPM,Ikapharmindo Putramas Tbk.,08 Nov 2023,1.684.662.500,Pengembangan
856,AYAM,Janu Putra Sejahtera Tbk.,30 Nov 2023,4.000.000.000,Pengembangan
857,SURI,Maja Agung Latexindo Tbk.,07 Des 2023,6.334.375.000,Pengembangan
858,ASLI,Asri Karya Lestari Tbk.,05 Jan 2024,6.250.000.000,Pengembangan
859,GRPH,Griptha Putra Persada Tbk.,17 Jan 2024,1.000.000.000,Pengembangan
860,SMGA,Sumber Mineral Global Abadi Tb,30 Jan 2024,8.750.000.000,Pengembangan
861,UNTD,Terang Dunia Internusa Tbk.,07 Feb 2024,6.666.666.700,Pengembangan
862,TOSK,Topindo Solusi Komunika Tbk.,07 Feb 2024,4.375.277.300,Pengembangan
863,MPIX,Mitra Pedagang Indonesia Tbk.,07 Feb 2024,1.562.574.308,Pengembangan
864,ALII,Ancara Logistics Indonesia Tbk,07 Feb 2024,15.825.800.000,Utama
865,MKAP,Multikarya Asia Pasifik Raya T,12 Feb 2024,3.250.000.000,Pengembangan
866,MEJA,Harta Djaya Karya Tbk.,12 Feb 2024,2.235.502.042,Akselerasi
867,LIVE,Homeco Victoria Makmur Tbk.,12 Feb 2024,4.593.005.014,Pengembangan
868,HYGN,Ecocare Indo Pasifik Tbk.,13 Feb 2024,2.525.000.000,Pengembangan
869,BAIK,Bersama Mencapai Puncak Tbk.,15 Feb 2024,1.127.497.572,Pengembangan
870,VISI,Satu Visi Putra Tbk.,27 Feb 2024,3.075.000.000,Pengembangan
871,AREA,Dunia Virtual Online Tbk.,01 Apr 2024,2.539.601.000,Pengembangan
872,MHKI,Multi Hanna Kreasindo Tbk.,16 Apr 2024,3.750.000.000,Pengembangan
873,ATLA,Atlantis Subsea Indonesia Tbk.,16 Apr 2024,6.199.577.693,Pengembangan
874,DATA,Remala Abadi Tbk.,07 Mei 2024,1.375.000.000,Pengembangan
875,SOLA,Xolare RCR Energy Tbk.,08 Mei 2024,3.287.375.000,Pengembangan
876,BATR,Benteng Api Technic Tbk.,10 Jun 2024,3.025.037.353,Pengembangan
877,SPRE,Soraya Berjaya Indonesia Tbk.,03 Jul 2024,800.000.000,Akselerasi
878,PART,Cipta Perdana Lancar Tbk.,05 Jul 2024,2.811.576.515,Pengembangan
879,GOLF,Intra Golflink Resorts Tbk.,08 Jul 2024,19.486.760.000,Utama
880,ISEA,Indo American Seafoods Tbk.,08 Jul 2024,1.390.013.370,Pengembangan
881,BLES,Superior Prima Sukses Tbk.,08 Jul 2024,8.890.206.400,Pengembangan
882,GUNA,Gunanusa Eramandiri Tbk.,09 Jul 2024,2.500.000.000,Pengembangan
883,LABS,UBC Medical Indonesia Tbk.,10 Jul 2024,3.950.000.000,Pengembangan
884,DOSS,Global Sukses Digital Tbk.,07 Agt 2024,1.725.000.000,Pengembangan
885,NEST,Esta Indonesia Tbk.,08 Agt 2024,4.112.500.000,Pengembangan
886,PTMR,Master Print Tbk.,08 Okt 2024,1.907.000.000,Pemantauan Khusus
887,VERN,Verona Indah Pictures Tbk.,08 Okt 2024,4.765.648.183,Pengembangan
888,DAAZ,Daaz Bara Lestari Tbk.,11 Nov 2024,1.997.000.000,Utama
889,BOAT,Newport Marine Services Tbk.,12 Nov 2024,3.501.680.000,Pengembangan
890,NAIK,Adiwarna Anugerah Abadi Tbk.,13 Nov 2024,3.327.391.695,Pengembangan
891,AADI,Adaro Andalan Indonesia Tbk.,05 Des 2024,7.786.891.760,Utama
892,MDIY,Daya Intiguna Yasa Tbk.,19 Des 2024,25.190.392.000,Utama
893,KSIX,Kentanix Supra International T,08 Jan 2025,2.137.831.800,Pengembangan
894,RATU,Raharja Energi Cepu Tbk.,08 Jan 2025,2.715.053.800,Pengembangan
895,YOII,Asuransi Digital Bersama Tbk.,08 Jan 2025,3.424.687.500,Pengembangan
896,HGII,Hero Global Investment Tbk.,09 Jan 2025,6.500.000.000,Pengembangan
897,BRRC,Raja Roti Cemerlang Tbk.,09 Jan 2025,994.603.036,Pengembangan
898,DGWG,Delta Giri Wacana Tbk.,13 Jan 2025,5.882.353.000,Utama
